COUNTY,Age_Group_Less_than_1_year,Age_Group_or_more_years,Age_Group_years,Payer_Court/Law_Enforcement,"Payer_Discharged,_transferred_to_acute_facility","Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care","Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)","Payer_Discharged,_transferred_to_psychiatric_facility","Payer_Discharged,_transferred_to_rehab_facility",Payer_Expired,Payer_GA,Payer_Hospice,Payer_Left_against_medical_advice,Payer_Medicaid,Payer_Medicare,Payer_Other,Payer_Other_government,Payer_Other/Unknown,"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",Payer_Patient_Residence_State_NC,Payer_SC,Payer_TN,Payer_Total_Number_of_Visits,Payer_Uninsured,Payer_Unknown,Payer_VA,Point_of_Origin_Court/law_enforcement,Point_of_Origin_Information_not_available,Point_of_Origin_Newborn,"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,Point_of_Origin_s_office,Race_African_American,Race_American_Indian,Race_Asian/Pacific_Islander,Race_Caucasian,Race_Ethnicity_Hispanic,Race_Ethnicity_Non_Hispanic,Race_Non_Hispanic,Race_Other_Race,Race_Unavailable,Race_Unknown
PAMLICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASQUOTANK,360.0,885.0,30313.0,40.0,744.0,273.0,6.0,231.0,7.0,40.0,21.0,28.0,451.0,7775.0,6482.0,283.0,1853.0,64.0,29674.0,30612.0,25.0,4.0,0.0,6091.0,0.0,617.0,140.0,0.0,0.0,503.0,58.0,295.0,13553.0,25.0,415.0,17461.0,803.0,0.0,30667.0,68.0,36.0,88.0
PENDER,200.0,443.0,15189.0,98.0,1419.0,74.0,27.0,14.0,0.0,8.0,7.0,2.0,99.0,4209.0,3878.0,268.0,226.0,4.0,14087.0,15708.0,17.0,1.0,0.0,4253.0,235.0,20.0,0.0,2.0,0.0,1.0,1.0,2.0,5950.0,19.0,36.0,8060.0,1653.0,0.0,13971.0,1492.0,275.0,208.0
PERQUIMANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERSON,111.0,448.0,10740.0,0.0,447.0,80.0,0.0,86.0,0.0,22.0,3.0,4.0,258.0,2927.0,1752.0,47.0,93.0,0.0,10402.0,10989.0,14.0,0.0,0.0,2391.0,115.0,248.0,0.0,0.0,0.0,0.0,0.0,47.0,5273.0,0.0,26.0,5511.0,189.0,0.0,10828.0,489.0,0.0,282.0
PITT,2138.0,1258.0,64077.0,32.0,57.0,499.0,4.0,127.0,34.0,75.0,62.0,16.0,769.0,16964.0,12091.0,649.0,1464.0,33.0,65827.0,66516.0,53.0,24.0,0.0,21109.0,0.0,169.0,57.0,0.0,0.0,880.0,622.0,0.0,39125.0,144.0,196.0,22101.0,4508.0,0.0,62505.0,5894.0,13.0,460.0
POLK,69.0,629.0,7872.0,7.0,413.0,174.0,47.0,38.0,4.0,32.0,19.0,29.0,240.0,1854.0,2032.0,215.0,193.0,15.0,7571.0,5916.0,2375.0,19.0,0.0,1451.0,0.0,26.0,24.0,398.0,0.0,2.0,3.0,1.0,575.0,23.0,19.0,7586.0,242.0,0.0,7955.0,96.0,271.0,373.0
RANDOLPH,299.0,771.0,22608.0,76.0,1105.0,382.0,0.0,205.0,2.0,41.0,11.0,19.0,2707.0,0.0,0.0,129.0,0.0,1.0,19140.0,23465.0,33.0,8.0,0.0,23678.0,0.0,32.0,3.0,0.0,0.0,5.0,126.0,0.0,3425.0,20.0,41.0,17490.0,2372.0,0.0,21202.0,2583.0,119.0,104.0
RICHMOND,410.0,603.0,27561.0,28.0,253.0,119.0,1.0,59.0,0.0,19.0,17.0,29.0,427.0,9303.0,6500.0,567.0,759.0,44.0,27595.0,27445.0,940.0,13.0,0.0,5673.0,0.0,23.0,20.0,2.0,0.0,88.0,2.0,30.0,13895.0,551.0,54.0,13001.0,1615.0,0.0,26632.0,945.0,128.0,327.0
ROBESON,598.0,806.0,39308.0,28.0,628.0,148.0,10.0,79.0,120.0,518.0,39.0,7.0,2674.0,13378.0,5076.0,274.0,710.0,35.0,36465.0,40112.0,250.0,4.0,0.0,8745.0,0.0,33.0,2.0,1.0,1.0,56.0,4.0,0.0,14112.0,12236.0,635.0,10666.0,1922.0,0.0,38220.0,2228.0,835.0,570.0
