FIPS,County,State,RUCC_2013,UIC_2013,HPSA_PrimaryCare_2023,HPSA_Dental_2023,HPSA_Mental_2023,MDs_All_2021,MDs_PrimaryCare_perCap_2021,MDs_FamilyMed_2021,MDs_InternalMed_2021,MDs_Pediatrics_2021
37065,Edgecombe,North Carolina,3.0,2.0,2.0,2.0,2.0,37.0,18.0,6.0,7.0,4.0
37067,Forsyth,North Carolina,2.0,2.0,2.0,2.0,2.0,2957.0,418.0,178.0,278.0,152.0
37069,Franklin,North Carolina,1.0,1.0,2.0,2.0,2.0,18.0,8.0,4.0,3.0,2.0
37071,Gaston,North Carolina,1.0,1.0,2.0,2.0,2.0,386.0,108.0,48.0,47.0,20.0
37073,Gates,North Carolina,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
37075,Graham,North Carolina,9.0,12.0,2.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0
37077,Granville,North Carolina,4.0,3.0,2.0,2.0,2.0,79.0,31.0,24.0,6.0,2.0
37079,Greene,North Carolina,8.0,7.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,0.0
37081,Guilford,North Carolina,2.0,2.0,2.0,2.0,2.0,1712.0,405.0,176.0,191.0,90.0
37083,Halifax,North Carolina,4.0,5.0,2.0,2.0,2.0,67.0,22.0,12.0,10.0,4.0
37085,Harnett,North Carolina,4.0,3.0,2.0,2.0,2.0,80.0,29.0,18.0,12.0,3.0
37087,Haywood,North Carolina,2.0,2.0,2.0,2.0,2.0,137.0,38.0,19.0,16.0,5.0
37089,Henderson,North Carolina,2.0,2.0,2.0,2.0,2.0,360.0,87.0,52.0,32.0,10.0
37091,Hertford,North Carolina,6.0,4.0,2.0,2.0,2.0,39.0,12.0,6.0,7.0,3.0
37093,Hoke,North Carolina,2.0,2.0,2.0,2.0,2.0,19.0,11.0,8.0,0.0,3.0
37095,Hyde,North Carolina,9.0,10.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
37097,Iredell,North Carolina,1.0,1.0,0.0,0.0,0.0,419.0,111.0,50.0,44.0,28.0
37099,Jackson,North Carolina,6.0,5.0,2.0,2.0,1.0,113.0,25.0,12.0,10.0,5.0
37101,Johnston,North Carolina,1.0,1.0,2.0,2.0,2.0,139.0,56.0,32.0,20.0,8.0
37103,Jones,North Carolina,3.0,2.0,2.0,2.0,2.0,13.0,5.0,1.0,4.0,0.0
37105,Lee,North Carolina,4.0,5.0,2.0,2.0,2.0,94.0,25.0,15.0,8.0,5.0
37107,Lenoir,North Carolina,4.0,5.0,2.0,2.0,2.0,98.0,29.0,12.0,13.0,4.0
37109,Lincoln,North Carolina,1.0,1.0,2.0,2.0,2.0,104.0,36.0,19.0,10.0,11.0
37111,McDowell,North Carolina,6.0,5.0,2.0,2.0,2.0,51.0,12.0,7.0,5.0,2.0
37113,Macon,North Carolina,7.0,9.0,2.0,2.0,2.0,89.0,20.0,12.0,7.0,2.0
37115,Madison,North Carolina,2.0,2.0,2.0,2.0,2.0,23.0,10.0,8.0,1.0,1.0
37117,Martin,North Carolina,6.0,6.0,2.0,2.0,2.0,16.0,8.0,5.0,3.0,1.0
37119,Mecklenburg,North Carolina,1.0,1.0,2.0,2.0,2.0,4452.0,982.0,358.0,460.0,319.0
37121,Mitchell,North Carolina,7.0,10.0,2.0,2.0,2.0,25.0,6.0,6.0,0.0,1.0
37123,Montgomery,North Carolina,6.0,6.0,2.0,2.0,2.0,10.0,7.0,5.0,1.0,1.0
37125,Moore,North Carolina,4.0,5.0,0.0,0.0,0.0,491.0,100.0,31.0,55.0,16.0
37127,Nash,North Carolina,3.0,2.0,2.0,2.0,2.0,164.0,47.0,17.0,27.0,8.0
37129,New Hanover,North Carolina,2.0,2.0,2.0,2.0,2.0,1029.0,188.0,72.0,104.0,37.0
37131,Northampton,North Carolina,9.0,8.0,1.0,2.0,2.0,7.0,2.0,1.0,1.0,0.0
37133,Onslow,North Carolina,3.0,2.0,1.0,2.0,1.0,239.0,54.0,45.0,15.0,16.0
37135,Orange,North Carolina,2.0,2.0,2.0,2.0,2.0,2712.0,265.0,151.0,147.0,117.0
37137,Pamlico,North Carolina,3.0,2.0,2.0,2.0,2.0,15.0,4.0,1.0,3.0,0.0
37139,Pasquotank,North Carolina,4.0,3.0,2.0,2.0,2.0,78.0,20.0,10.0,6.0,5.0
37141,Pender,North Carolina,2.0,2.0,2.0,2.0,2.0,55.0,13.0,7.0,7.0,0.0
