County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Henderson,West,38408.0,101.32803,379.04614962862547,1076.8849959153042,0.41159999999999997,4.713301754466656e-07,34.593957916573935,23.166310309565862,19.253422899156657,41361,116469,23577.0,14831,0.2424,33.9,9.2,15.0,20.7,5.8
Transylvania,West,12096.166669999999,6.95751,1738.576722336479,1072.9017945234882,0.41109999999999997,2.2875671602329034e-06,34.466001169247725,23.11982894859161,19.195277468468834,12978,33131,7391.16667,4705,0.2525,32.8,8.8,13.3,18.8,5.6
Graham,West,4195.1666700000005,0.24141,17377.69476121635,0.0,0.7733,2.3180326147680093e-05,0.0,56.79092683833783,18.930316672887994,0,8047,3109.16667,1086,0.5859,34.0,10.4,18.7,23.7,6.9
Buncombe,West,87459.6667,959.23844,91.17614866312474,761.3223529318303,0.4915,8.675615183892714e-08,24.456793007767168,30.594031793250902,18.35027496259141,66585,269449,59500.6667,27959,0.3535,26.2,8.0,11.1,18.4,5.3
Iredell,West,63441.25,208.50129,304.2726963258947,1127.8938998223728,0.272,3.7143811410220224e-07,36.232572886440664,10.188714325555454,15.47376252781141,71555,187839,43706.25,19735,0.101,33.5,9.7,14.5,22.2,5.6
Yadkin,West,16701.0,3.3552,4977.64515449298,0.0,0.641,6.6147341992343685e-06,0.0,44.49195872455146,14.830655113095219,0,37280,10329.0,6372,0.4444,36.1,10.7,18.9,25.6,7.0
Polk,West,6926.83333,2.53994,2727.163083709425,1237.217405775605,0.2132,3.6082488339113287e-06,39.74449178082916,4.722506274983731,14.822333888020573,8570,19538,4469.83333,2457,0.0606,32.2,8.3,11.9,18.7,5.2
Ashe,West,10230.416669999999,3.47867,2940.898023986746,824.795259800962,0.35429999999999995,3.893783643694652e-06,26.49580281605876,17.839546341916886,14.778451017253095,8438,26759,6869.41667,3361,0.1717,33.9,9.6,17.4,24.1,6.3
Cherokee,West,13590.83333,2.8868,4707.921789551825,838.9477586987849,0.32499999999999996,6.254402801837842e-06,26.950439061472796,15.115738588825877,14.022061301567158,11402,28868,9076.83333,4514,0.1414,31.5,10.6,18.2,24.4,7.1
Lincoln,West,30679.5,31.65588,969.1564104628773,1136.1006164995968,0.19740000000000002,1.2596758753115072e-06,36.4962062478878,3.253695268197453,13.249967591920376,34855,87933,20396.5,10283,0.0202,33.2,9.7,16.4,23.1,6.2
Haywood,West,25892.5833,23.61776,1096.3182877496304,624.8507222201068,0.24419999999999997,1.4295551771965997e-06,20.072765124051635,7.6043506553871865,9.225705736331333,16179,62152,17179.5833,8713,0.0808,31.5,9.2,14.3,20.7,6.0
Yancey,West,7944.25,1.8538,4285.384461438957,0.0,0.4546,5.689922724539676e-06,0.0,27.163707353351313,9.05457101442468,0,18538,5294.25,2650,0.2828,32.3,9.8,15.0,22.2,6.6
Alexander,West,14767.83333,2.55535,5779.179975666748,0.0,0.4398,7.68552820419026e-06,0.0,25.787859068513523,8.595955584680576,0,36505,9791.83333,4976,0.2626,33.8,9.7,16.2,22.7,6.2
Clay,West,4709.6666700000005,0.44744,10525.78255010158,0.0,0.41250000000000003,1.4026654561208677e-05,0.0,23.249976759319516,7.7499969286580255,0,11186,3094.66667,1615,0.2323,32.7,9.6,17.9,23.7,6.2
Madison,West,9067.25,2.1414,4234.260654590149,0.0,0.3105,5.621624923323678e-06,0.0,13.767779120572651,4.589261580732525,0,21414,6094.25,2973,0.1313,31.9,9.8,18.4,23.1,6.4
