County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Onslow,East,57210.5833,109.99044,520.1414121068939,704.467547275164,0.7401,6.59823497506162e-07,22.630383723858454,53.70456446964768,25.44498295110988,40303,203686,48892.5833,8318,0.5657,32.1,10.6,15.3,23.0,6.2
Northampton,East,9088.0,0.35056,25924.161558188163,0.0,0.9706,3.459780317799867e-05,0.0,75.13247187877661,25.044168825526597,0,17528,6503.0,2585,0.7576,40.3,13.9,18.2,27.3,6.8
Catawba,West,62075.0833,151.35034,410.1416811475833,1024.5495550619817,0.6153000000000001,5.128716130134791e-07,32.912729145356494,42.10281677047505,25.005182142901052,63599,161011,42909.0833,19166,0.4343,34.1,10.1,17.0,23.3,6.0
Dare,East,8827.083330000001,7.432,1187.7128824390634,2092.876799331541,0.23470000000000002,1.5516519114788424e-06,67.23177701915304,6.721204796876454,24.650994455893798,18474,37160,6749.08333,2078,0.0909,29.5,8.2,11.2,17.6,5.4
Orange,Piedmont,32953.0,386.68535,85.21915794012067,1829.089860434866,0.3247,7.87980322597557e-08,58.75785984345945,15.087849772241329,24.615236564832937,60274,145919,20692.0,12261,0.1919,26.3,8.7,10.2,16.3,4.9
Macon,West,14374.66667,7.4176,1937.9131703093763,1380.5536556101822,0.4758,2.5538665995336272e-06,44.34903935415878,29.134517058659483,24.49451965556162,19845,37088,9692.66667,4682,0.303,31.3,10.0,15.7,22.8,6.6
Tyrrell,East,1416.66667,0.0,1416666670.0000002,0.0,0.9230999999999999,1.8925667470598428,0.0,70.71674258622292,24.203103111094254,0,3389,1087.66667,329,0.7273,37.0,12.3,16.3,25.7,6.6
Watauga,West,10717.416669999999,21.816,491.26403459552455,1547.3876740309965,0.3821,6.212453572916912e-07,49.70843152156204,20.423910012085152,23.37744738496418,16584,54540,6450.41667,4267,0.2121,33.7,9.9,14.3,20.6,6.5
Granville,North Central,21996.25,18.95991,1160.1452137618155,920.7932751813024,0.5863,1.5148234499193318e-06,29.579652360567877,39.40689783396859,22.995517236453306,20254,61161,15643.25,6353,0.3939,37.5,11.8,16.7,23.9,6.3
Stanly,Piedmont,25075.8333,12.5446,1998.9343064797356,936.7584631072474,0.5684,2.635386534863614e-06,30.092519603899564,37.74286511109046,22.611795783458856,23490,62723,17268.8333,7807,0.3838,34.3,10.3,17.5,23.8,6.4
New Hanover,East,64160.3333,428.89192,149.59557445242712,1428.0630080819265,0.357,1.6480038554613501e-07,45.8752343947483,18.090545691177837,21.321926750242174,91625,228134,45585.3333,18575,0.202,32.4,9.1,12.5,18.2,5.3
Carteret,East,20758.0,23.24002,893.200569827368,1622.36238450899,0.2717,1.1582042278604529e-06,52.11692638305699,10.160825508970902,20.75925101674404,33677,68353,14906.0,5852,0.1111,31.6,9.2,13.5,20.0,6.0
Gaston,West,96873.9167,247.28976,391.742530334687,803.7354310488467,0.5506,4.882916448495538e-07,25.819274837356915,36.08812866040718,20.635801328685247,77861,228972,70628.9167,26245,0.3636,36.5,10.9,16.8,22.9,6.4
Caldwell,West,38970.1667,29.05776,1341.1276491674635,521.2961913941161,0.6445000000000001,1.7566032225696223e-06,16.74616934543738,44.817328251371215,20.521166451137272,20315,80716,27152.1667,11818,0.4545,35.0,10.5,18.4,24.5,6.6
Cabarrus,Piedmont,73998.9167,387.13716,191.14392560212013,1244.3695510968264,0.3892,2.2030605311244582e-07,39.97424798988959,21.083945337919495,20.352731182705046,92082,226396,54044.9167,19954,0.2222,34.6,9.9,12.2,21.4,5.4
Randolph,Piedmont,66726.0833,82.30971,810.6708490326251,354.85373146645145,0.6693,1.047950340040231e-06,11.399355640994674,47.12280375569398,19.507386814879663,23678,144403,44132.0833,22594,0.4747,32.5,10.9,19.5,27.6,6.8
Henderson,West,38408.0,101.32803,379.04614962862547,1076.8849959153042,0.41159999999999997,4.713301754466656e-07,34.593957916573935,23.166310309565862,19.253422899156657,41361,116469,23577.0,14831,0.2424,33.9,9.2,15.0,20.7,5.8
Transylvania,West,12096.166669999999,6.95751,1738.576722336479,1072.9017945234882,0.41109999999999997,2.2875671602329034e-06,34.466001169247725,23.11982894859161,19.195277468468834,12978,33131,7391.16667,4705,0.2525,32.8,8.8,13.3,18.8,5.6
Graham,West,4195.1666700000005,0.24141,17377.69476121635,0.0,0.7733,2.3180326147680093e-05,0.0,56.79092683833783,18.930316672887994,0,8047,3109.16667,1086,0.5859,34.0,10.4,18.7,23.7,6.9
Johnston,East,78735.9167,122.66352,641.8853466630882,728.6509343625775,0.5197,8.22464809921775e-07,23.407253193073345,33.215580552198574,18.874278189245576,57371,219042,59839.9167,18896,0.3333,36.2,11.0,15.9,24.1,6.0
Buncombe,West,87459.6667,959.23844,91.17614866312474,761.3223529318303,0.4915,8.675615183892714e-08,24.456793007767168,30.594031793250902,18.35027496259141,66585,269449,59500.6667,27959,0.3535,26.2,8.0,11.1,18.4,5.3
Jones,East,4305.5,0.46315,9296.104294279836,0.0,0.7535000000000001,1.2383891115909671e-05,0.0,54.95026494375757,18.31675910921623,0,9263,3135.5,1170,0.5455,38.2,12.3,19.1,27.7,6.7
Davidson,Piedmont,74625.75,74.57912,1000.6252286078834,748.0661735652081,0.47569999999999996,1.301715997490322e-06,24.03095021779152,29.125220786464624,17.718724101990713,55825,169498,48162.75,26463,0.2929,34.5,10.3,17.4,23.1,6.1
Franklin,North Central,26233.0833,5.5744,4705.991424011298,399.22869458396093,0.5946,6.251823969585559e-06,12.824861254369733,40.17848842614112,17.667785310778275,10473,69680,18853.0833,7380,0.404,38.0,11.2,16.2,23.7,6.2
