County,Region,E_TOTPOP,Total_ED,ED_rate_per_1000,Observed_log_ED,Predicted_log_ED,Residual,Excess_ratio,Expected_ED,Excess_ED_visits,Excess_z,Classification
Jackson,West,42388,28268,666.8868547702181,10.249485701810745,9.621343911822708,0.628141789988037,1.874124824122948,15083.306958077797,13184.693041922203,0.6075271232608085,Expected
Johnston,East,219042,57371,261.9178057176249,10.95729422815692,10.96065561652493,-0.003361388368009699,0.9966442547731701,57564.17069103287,-193.17069103287213,-0.018368619572591265,Expected
Jones,East,9263,0,0.0,,,,,,,,No ED Facility
Lee,Piedmont,63560,23723,373.237885462555,10.074200320662365,10.240531488789454,-0.1663311681270887,0.8467657659181049,28016.01216633785,-4293.012166337849,-0.17989130838508477,Expected
Lenoir,East,55071,31624,574.2405258666086,10.361671604976522,10.022197785808366,0.33947381916815544,1.404208528528883,22520.87162092004,9103.12837907996,0.32142238108221366,Expected
Lincoln,West,87933,34855,396.381335789749,10.4589518779205,10.501787096555049,-0.042835218634548866,0.9580692490196168,36380.46000919747,-1525.4600091974717,-0.05749194177260296,Expected
Macon,West,37088,19845,535.0787316652287,9.895707365217167,9.339366237019673,0.5563411281974933,1.7442787181968387,11377.195509508329,8467.804490491671,0.5363640157934623,Expected
Madison,West,21414,0,0.0,,,,,,,,No ED Facility
Martin,East,21992,9517,432.74827209894505,9.160834952072344,8.828508064319808,0.3323268877525365,1.3942085237220232,6826.095119970377,2690.904880029623,0.3143389108786224,Expected
Mcdowell,Unknown,44629,19709,441.6186784377871,9.888830663192495,9.081583968447747,0.8072466947447481,2.241727322335712,8791.881065831287,10917.118934168713,0.7850416651505779,Expected
Mecklenburg,Piedmont,1115403,413260,370.5028586080547,12.931832213817597,11.816834943730735,1.114997270086862,3.049559854137809,135514.63810073008,277745.3618992699,1.0900595677723726,Excess Burden
Mitchell,West,14989,12704,847.5548735739542,9.449672183486918,9.113098009126348,0.33657417436056924,1.400142720109258,9073.360749258956,3630.6392507410437,0.31854848368470295,Expected
Montgomery,Piedmont,25839,10439,404.00170285227756,9.253304071408298,9.213607356954032,0.0396967144542657,1.0404951591918843,10032.723273895475,406.27672610452464,0.024307148617684418,Expected
Moore,Piedmont,100759,34446,341.8652428070942,10.447148159395692,10.848637402588581,-0.4014892431928896,0.669322519434237,51463.97887391628,-17017.978873916283,-0.4129612961874233,Expected
Nash,East,95015,50414,530.589906856812,10.828024193264135,10.679379307174422,0.1486448860897127,1.1602608912605104,43450.5725218663,6963.427478133701,0.1322879144368275,Expected
New Hanover,East,228134,91625,401.62799056694746,11.425459439188952,11.357862941198697,0.06759649799025524,1.0699335010490836,85636.16328506438,5988.83671493562,0.05195919589099808,Expected
Northampton,East,17528,0,0.0,,,,,,,,No ED Facility
Onslow,East,203686,40303,197.86828746207397,10.604181186851473,10.987708002246075,-0.38352681539460143,0.6814538043510838,59142.67371121157,-18839.673711211573,-0.39515836585353636,Expected
Orange,Piedmont,145919,60274,413.06478251632757,11.00665611228545,10.938566803424852,0.06808930886059805,1.0704609058536811,56306.58688271492,3967.413117285083,0.05244763084483719,Expected
Pamlico,East,12317,0,0.0,,,,,,,,No ED Facility
Pasquotank,East,40454,31558,780.095911405547,10.359582401595615,9.83475220217081,0.5248301994248052,1.6901718318627679,18671.47434661682,12886.525653383182,0.5051328884650227,Expected
Pender,East,61592,15832,257.04636965839717,9.669788487282402,9.884752659363569,-0.21496417208116725,0.8065703373962413,19628.790281463404,-3796.7902814634035,-0.22809247534563457,Expected
Perquimans,East,13053,0,0.0,,,,,,,,No ED Facility
Person,North Central,39131,11299,288.7480514170351,9.332469505209247,9.4418735980736,-0.10940409286435404,0.896368128339437,12605.312084145515,-1306.3120841455147,-0.12346971736212803,Expected
Pitt,East,171196,67473,394.1271992336269,11.119482796839282,10.998088085654594,0.12139471118468848,1.1290704811732841,59759.776847486835,7713.223152513165,0.10527970759150262,Expected
Polk,West,19538,8570,438.6324086395741,9.056023011591826,9.327967582760758,-0.2719445711689321,0.7618964909513389,11248.247106767887,-2678.247106767887,-0.28456691670445955,Expected
Randolph,Piedmont,144403,23678,163.97166263858784,10.072301625971582,10.708571581711636,-0.6362699557400546,0.5292629208581662,44737.689089588275,-21059.689089588275,-0.6456572722634331,Expected
Richmond,Piedmont,43149,28574,662.2169691070476,10.260252492425103,9.652039947907223,0.6082125445178796,1.8371446479239348,15553.48406141565,13020.51593858435,0.5877748396220702,Expected
Robeson,South Central,117573,40712,346.26997695049033,10.614278168268669,9.652804889003562,0.9614732792651068,2.615547067487869,15565.386112168993,25146.61388783101,0.9378987939687068,Expected
